V1,V2,V3,V4,V5,Approach,Cycle,Trait
0.842024453709352,0.765675022448037,0.696860880330853,0.747847165925914,0.83334584434163,All,1,CmL.year3.BC
0.811662715745198,0.685896082785097,0.704476623201539,0.729945119210564,0.803447005470688,CDmean,1,CmL.year3.BC
0.809934645600462,0.63648216363967,0.65366033752852,0.708536681937368,0.782297184381092,Random,1,CmL.year3.BC
0.730541915862892,0.73201595237072,0.835198780456473,0.769970699550576,0.741913682464459,All,2,CmL.year3.BC
0.698314397223591,0.753120156468525,0.799546041381056,0.769167974789125,0.736694464811555,CDmean,2,CmL.year3.BC
0.717985603655484,0.716884125971704,0.805297916488328,0.65172486404933,0.753693955839818,Random,2,CmL.year3.BC
0.763029389256553,0.790268019436217,0.78944268543581,0.797689048364034,0.7019973632157,All,3,CmL.year3.BC
0.739059627687069,0.789821711749297,0.755742586424654,0.813425287232454,0.698490716775509,CDmean,3,CmL.year3.BC
0.746391093120634,0.787127797916671,0.62700328822027,0.786173315919959,0.672604494602401,Random,3,CmL.year3.BC
0.749204161234075,0.727724596770163,0.737018579594491,0.824828636550193,0.813684597996853,All,4,CmL.year3.BC
0.697644120771228,0.716623002293865,0.755038142656273,0.786034708149007,0.778332236099988,CDmean,4,CmL.year3.BC
0.603615276371952,0.705772659752978,0.718238318295756,0.609746342070372,0.814671607313793,Random,4,CmL.year3.BC
0.750955046494391,0.864253759414482,0.7604253073112,0.6782109381082,0.776064035405995,All,5,CmL.year3.BC
0.756850024617865,0.843744432035046,0.715645876464706,0.643792441334047,0.733124684885597,CDmean,5,CmL.year3.BC
0.45434227180146,0.799374233248132,0.703533568198423,0.65248323462862,0.736255226471164,Random,5,CmL.year3.BC
0.75794234746651,0.812705660217301,0.739330260296591,0.738760812221499,0.758501353742966,All,6,CmL.year3.BC
0.751433583112717,0.853820983883631,0.710713791297857,0.736991292961492,0.746109393918389,CDmean,6,CmL.year3.BC
0.745434950737903,0.839943121006727,0.713176970628132,0.681351526453724,0.73602860730631,Random,6,CmL.year3.BC
0.791306921787746,0.784361734982695,0.766110196686952,0.758992890427325,0.681008555645556,All,7,CmL.year3.BC
0.732483433048824,0.75701736474959,0.791032682184709,0.727628895991866,0.642980040743833,CDmean,7,CmL.year3.BC
0.705152855987601,0.670565398362426,0.612485725365166,0.744635687509554,0.594534678701173,Random,7,CmL.year3.BC
0.83706537838167,0.742738222990029,0.752898026031736,0.71609841395949,0.802124910322647,All,8,CmL.year3.BC
0.823788605109308,0.682872715329026,0.728914650319212,0.723964101492806,0.793064499196679,CDmean,8,CmL.year3.BC
0.855539473127946,0.677652764294534,0.696254656421759,0.672333672145543,0.787436459159833,Random,8,CmL.year3.BC
0.755451819086835,0.673130300999325,0.825468164172669,0.714992849094981,0.80086031320077,All,9,CmL.year3.BC
0.746819083719959,0.650004205998153,0.799227021063803,0.719972214437815,0.835066364679601,CDmean,9,CmL.year3.BC
0.755723218175847,0.608621697280717,0.454781264657184,0.725230604459756,0.834870266238274,Random,9,CmL.year3.BC
0.789119922726441,0.800548225347933,0.721380188462008,0.773033324642742,0.738418540042822,All,10,CmL.year3.BC
0.759257334843347,0.763640523115398,0.716596486528996,0.723379077206759,0.76930691596249,CDmean,10,CmL.year3.BC
0.743666727517194,0.668677805546684,0.677557969207502,0.693560118091881,0.71030516446126,Random,10,CmL.year3.BC
