V1,V2,V3,V4,V5,Approach,Cycle,Trait
0.695063221104455,0.774686190569301,0.708235666164131,0.621538846279101,0.748280090151271,All,1,Yld.year3.BC
0.702742991177216,0.763437329694478,0.70001884296799,0.614036664345737,0.748964658155469,CDmean,1,Yld.year3.BC
0.700776230291526,0.738716274084628,0.687894163002094,0.558647428275781,0.731942869613163,Random,1,Yld.year3.BC
0.69079297422434,0.732073073856423,0.660857620177958,0.713601476821507,0.7191163073282,All,2,Yld.year3.BC
0.709546106868243,0.737248334426754,0.624272211154182,0.71257293922992,0.693569204731051,CDmean,2,Yld.year3.BC
0.647313790855741,0.716602625873538,0.626735657679778,0.682498629156937,0.689158332884681,Random,2,Yld.year3.BC
0.729760372314532,0.680464368589902,0.7172769726768,0.741797123127311,0.677146455765761,All,3,Yld.year3.BC
0.738594725206398,0.688780979868411,0.728753925180999,0.733851826010817,0.665666044211032,CDmean,3,Yld.year3.BC
0.736951925338167,0.649409406790944,0.706563416803693,0.722467038988612,0.611696505204382,Random,3,Yld.year3.BC
0.722343780475364,0.756044106645651,0.677814261549457,0.68089688095926,0.701324703270745,All,4,Yld.year3.BC
0.642992733897963,0.739380989517709,0.697896746613456,0.655104324044846,0.697866611844796,CDmean,4,Yld.year3.BC
0.630692628652933,0.718926076629577,0.667346453637408,0.64182570025672,0.696055642265549,Random,4,Yld.year3.BC
0.832309226755004,0.638271693137223,0.759732259936202,0.632253806794492,0.672506291061745,All,5,Yld.year3.BC
0.802879411542733,0.626675484296286,0.754744739327708,0.632569758088953,0.687152391587765,CDmean,5,Yld.year3.BC
0.800856648716556,0.557840395144438,0.756940307586105,0.631887131521676,0.689825217367901,Random,5,Yld.year3.BC
0.682748191514648,0.77263076729526,0.775230699869991,0.680030733795089,0.650557772097595,All,6,Yld.year3.BC
0.674369421229639,0.773811583139218,0.778760511311332,0.680110776576854,0.645921753086491,CDmean,6,Yld.year3.BC
0.669413438479208,0.752538147061576,0.768718361303887,0.658583222036719,0.642368443835061,Random,6,Yld.year3.BC
0.637850015036223,0.731767065836531,0.737298085757873,0.701220688336729,0.730385197651513,All,7,Yld.year3.BC
0.677316756545625,0.666663890469501,0.718390368073616,0.683599778271505,0.710705788827903,CDmean,7,Yld.year3.BC
0.691718779263087,0.685467547178743,0.701332460365537,0.652457138207518,0.725859348639131,Random,7,Yld.year3.BC
0.73475437478903,0.699934289614422,0.75333033155637,0.650414429228854,0.732502601435122,All,8,Yld.year3.BC
0.739465764307819,0.685413218473122,0.721927821165567,0.627959607375101,0.697142749417992,CDmean,8,Yld.year3.BC
0.72167510421021,0.676856863547926,0.680280870089053,0.618807264416514,0.673686049250568,Random,8,Yld.year3.BC
0.750895966690958,0.720416609312864,0.689665397717812,0.66099781759222,0.71729390851006,All,9,Yld.year3.BC
0.753413277981695,0.722878724724703,0.658522237804266,0.652339307487583,0.726146961319633,CDmean,9,Yld.year3.BC
0.717761219918374,0.696614114811099,0.631453080719042,0.652570483112357,0.644395796775493,Random,9,Yld.year3.BC
0.736964137877279,0.710836543161962,0.730286372833984,0.647525788875141,0.716233350049895,All,10,Yld.year3.BC
0.720995395301884,0.730245881970235,0.700434922138759,0.650598334677514,0.707739007765037,CDmean,10,Yld.year3.BC
0.691815090230983,0.712537323807053,0.656544638477733,0.616210744810905,0.652873672320761,Random,10,Yld.year3.BC
