V1,V2,V3,V4,V5,Approach,Cycle,Trait
NA,NA,NA,NA,NA,All,1,Selection.index
NA,NA,NA,NA,NA,CDmean,1,Selection.index
NA,NA,NA,NA,NA,Random,1,Selection.index
NA,NA,NA,NA,NA,All,2,Selection.index
NA,NA,NA,NA,NA,CDmean,2,Selection.index
NA,NA,NA,NA,NA,Random,2,Selection.index
NA,NA,NA,NA,NA,All,3,Selection.index
NA,NA,NA,NA,NA,CDmean,3,Selection.index
NA,NA,NA,NA,NA,Random,3,Selection.index
NA,NA,NA,NA,NA,All,4,Selection.index
NA,NA,NA,NA,NA,CDmean,4,Selection.index
NA,NA,NA,NA,NA,Random,4,Selection.index
NA,NA,NA,NA,NA,All,5,Selection.index
NA,NA,NA,NA,NA,CDmean,5,Selection.index
NA,NA,NA,NA,NA,Random,5,Selection.index
NA,NA,NA,NA,NA,All,6,Selection.index
NA,NA,NA,NA,NA,CDmean,6,Selection.index
NA,NA,NA,NA,NA,Random,6,Selection.index
NA,NA,NA,NA,NA,All,7,Selection.index
NA,NA,NA,NA,NA,CDmean,7,Selection.index
NA,NA,NA,NA,NA,Random,7,Selection.index
NA,NA,NA,NA,NA,All,8,Selection.index
NA,NA,NA,NA,NA,CDmean,8,Selection.index
NA,NA,NA,NA,NA,Random,8,Selection.index
NA,NA,NA,NA,NA,All,9,Selection.index
NA,NA,NA,NA,NA,CDmean,9,Selection.index
NA,NA,NA,NA,NA,Random,9,Selection.index
NA,NA,NA,NA,NA,All,10,Selection.index
NA,NA,NA,NA,NA,CDmean,10,Selection.index
NA,NA,NA,NA,NA,Random,10,Selection.index
